hit_distance_sc,launch_speed,launch_angle
378,100.4,28
374,97.1,40
371,96.7,36
392,96.5,26
370,96.3,29
429,107,25
383,103.4,29
440,102.9,31
408,103.6,32
387,104.9,25
421,106,31
422,98,31
457,109.6,29
398,100.8,32
419,105.1,27
392,101,27
411,102.9,27
422,113.4,23
380,102.1,31
499,109.9,35
414,109.2,22
361,101.5,28
400,105.6,37
400,105.2,28
421,106.3,26
416,111,27
473,115.1,30
403,100.8,31
420,110.2,19
382,111.4,19
399,101.4,29
412,105.8,36
429,103,27
355,98.1,28
364,97,37
370,103.5,26
380,101.9,25
380,101.4,37
383,101.8,24
415,105.8,38
412,104.8,32
411,109.9,32
395,105.8,30
414,105.6,34
419,107.1,26
384,99.5,36
400,100.6,41
368,106.5,23
355,104.8,42
413,101.5,36
388,103.9,29
404,109.6,34
370,99,36
412,109.4,29
416,108.6,31
373,100.8,41
397,108.7,18
375,99.7,30
427,115.8,16
393,103.8,35
389,105.1,27
390,98.4,31
342,101.2,44
428,108.4,27
363,104,23
407,109.7,24
381,102.5,26
398,100.8,35
385,98.2,26
404,105.3,29
397,104.8,36
423,105.1,33
368,103,39
447,106.9,25
409,100.9,32
382,101.9,27
424,106.3,32
423,105.1,25
389,97.6,27
417,111,24
429,105.7,32
429,104.4,27
450,115.3,30
407,101,30
418,103,24
411,102.3,27
370,95.1,33
384,100,36
416,106.4,20
412,106.2,29
375,101.6,28
439,111.5,28
406,106.7,23
423,104.4,31
391,104.8,22
418,108.2,29
398,103.4,35
432,108.9,24
411,103.1,32
362,98.9,33
372,94.6,33
415,107.9,35
379,97.4,32
352,106.4,18
427,105,27
375,104.4,21
411,104.1,28
425,108.9,26
411,103,33
428,106.1,29
383,103.1,38
352,97.1,40
411,108.1,25
400,101.2,30
428,103.5,28
392,103.5,26
370,101.9,29
436,112.5,21
375,105.8,36
424,108.3,30
401,104.3,29
379,99.5,28
407,102.8,29
409,103.8,34
356,106.1,17
415,107.7,29
409,108.5,19
402,107.3,23
439,108.8,28
410,103.9,27
381,104.6,20
410,101.7,29
366,113.9,21
356,100.4,34
366,105.2,42
424,107.7,28
405,106.7,36
396,101.5,29
412,104,32
409,104,32
345,95.2,39
380,102.6,43
422,106.8,28
408,103.2,23
437,109.9,25
414,107.6,25
379,105,28
380,97.3,30
382,96.4,27
407,110.5,35
393,103.5,31
389,102.7,34
349,99.5,31
406,102,29
398,109.2,22
371,98.7,26
377,96.7,32
389,104.5,26
444,111.4,34
409,106.8,33
430,105.6,29
427,107.3,24
429,107.1,24
415,106.1,24
397,102.8,32
394,106.5,24
406,104.3,35
362,99.1,29
392,113,14
391,104.4,22
377,98.5,30
441,107.5,27
383,104,23
411,107,32
381,102.4,34
467,110.6,34
353,102.8,34
382,106.5,38
391,103.1,36
383,106.2,24
399,103.2,25
404,100.7,31
396,102.5,32
403,104.9,24
361,95.7,27
378,107.5,36
400,107.8,39
419,105.4,31
410,106.9,35
423,105.5,30
379,99.2,36
375,105.4,26
420,109.6,23
399,105.9,31
372,101.3,33
399,102.3,23
398,105,27
388,100.9,24
384,98.6,32
427,107.3,30
387,101.4,27
433,107.8,24
420,106.7,23
398,104.8,23
400,105.2,37
437,104.2,31
438,107.3,25
385,102.3,27
409,104.7,34
397,105.3,24
373,99.7,21
387,104.3,39
417,105.3,33
389,105.7,25
379,106.2,26
390,100.7,29
416,111.6,37
434,104.6,28
358,105.7,24
416,108.1,28
434,107.6,28
346,97.6,27
439,111.4,22
392,100.2,29
422,104.2,28
425,107,29
427,107.4,29
437,117.5,21
389,104.3,33
398,102.7,28
432,105.8,29
431,107.6,28
377,99.4,33
420,106,32
395,104.6,28
411,102.8,34
415,106.7,27
414,105.5,28
369,98.1,25
363,98.1,36
434,111.1,34
423,108.1,36
379,106.3,21
390,106.7,21
396,104,32
380,102.2,26
403,108.5,25
414,109.9,22
363,97.5,25
386,96.6,39
407,101.6,27
429,109.2,20
419,105.5,27
398,104.4,31
355,99.2,26
387,101.4,25
365,99,33
355,98.9,39
399,104.3,29
390,100.7,26
416,107.9,33
364,93.8,33
410,106.5,26
394,97.5,29
403,112.3,21
366,107.2,22
386,99.8,26
413,111.9,30
423,101.7,30
429,105.8,34
409,105.7,25
354,93.5,29
432,106.6,29
415,108.3,25
381,103,31
350,95.5,41
409,102,25
407,110.2,22
417,105.7,22
408,101.3,31
332,97.3,44
393,105.1,35
357,105.1,29
418,105.3,27
410,101.4,28
416,107.7,21
425,112.1,21
408,105.6,31
399,104.4,24
418,103.4,28
397,100.3,26
397,102.6,31
415,106.7,23
394,102.5,30
402,103.8,28
366,104,25
413,102.6,23
358,101.4,39
411,106,24
381,102.5,36
428,108.1,28
404,107.3,24
405,106.7,23
383,103.8,29
360,101,23
405,108.5,29
395,103.4,22
428,104.8,26
399,101.5,34
346,94.1,31
407,101.3,36
393,99.6,26
433,105.6,32
359,97.9,30
376,99,27
390,104.4,38
397,104.8,34
398,101.1,27
388,104.7,39
365,96.8,40
427,109,31
368,103.6,24
389,102.5,32
387,100.7,40
359,97.9,30
391,104.8,24
377,101.3,27
410,108.4,22
356,98.3,34
376,107.8,37
412,108.6,23
398,112.2,32
389,104.1,24
431,106.9,28
389,99.1,27
386,100.1,33
389,105,39
411,110.3,27
449,109.5,26
433,110.8,22
426,104.3,27
378,98,31
408,101.9,31
369,97,31
411,108.7,21
380,102.4,35
373,98.7,29
363,92,36
406,105,37
390,104.3,25
405,106.4,23
368,99.5,35
411,104.4,30
419,106.8,34
436,108.2,31
409,106.7,32
422,105.3,26
391,98.6,32
451,110.4,26
361,94.8,33
390,101.6,35
428,108.5,23
404,101,26
374,106.8,21
368,107.3,22
403,108.7,26
388,108.3,21
391,102,26
374,97.5,34
381,106.4,38
387,99.3,32
394,103,32
369,104.9,27
403,109.7,26
407,104.3,21
387,101.4,22
350,98.7,31
443,107.5,35
410,103.4,29
352,97.5,31
456,107.9,28
400,101.5,27
390,96.8,30
385,98.3,28
430,110.8,23
437,108.3,21
406,107.4,26
371,101.8,41
371,98.1,33
367,95.8,26
379,100.1,31
406,113,24
397,101.5,30
420,112.7,35
400,103.6,31
410,104.7,27
388,100,28
429,108,33
409,108.5,22
396,106.1,31
385,108.8,23
392,101.6,29
429,112.7,32
397,103.7,29
453,115.9,26
423,108.4,33
403,107.2,24
375,103.3,22
395,100.2,38
394,99.1,25
420,106.2,26
373,95.1,35
410,107.6,26
384,100.2,28
430,108.4,28
424,105.5,24
390,103.2,27
353,98.5,39
375,92.6,32
416,102.6,27
394,101.9,28
373,99.7,22
392,105.7,25
404,103,37
366,108.7,41
390,103.1,28
399,105.3,37
391,105,25
453,107.8,25
409,109,24
383,109.6,26
417,106.8,31
399,101.6,33
436,108.6,28
402,103.5,24
342,104.8,23
348,98.8,26
386,97.5,28
401,107.6,30
391,100.6,26
382,93.6,31
416,106.5,31
387,103.7,34
390,103.1,38
399,107.6,21
418,106.2,27
440,113.3,29
395,100.1,28
387,102,40
378,104.9,23
401,100.6,35
432,104.7,31
444,110,24
400,104.7,32
345,94.1,35
361,107.8,20
389,102.2,24
382,108.3,19
387,100.9,31
424,108.2,31
462,104.5,26
387,106.5,28
398,107,22
341,93.7,39
393,101.2,34
383,104.4,22
398,100.5,31
448,111,27
415,108.2,27
373,101.1,35
397,101.7,37
386,98.7,30
385,99.1,33
419,103.4,31
412,106.1,31
437,110,30
398,105,32
437,107.5,22
404,104.8,31
383,99.5,27
383,103.5,21
403,107.5,37
429,105.4,30
414,101.5,32
431,106.5,24
428,107.8,25
384,94.1,32
350,99.7,34
429,110.7,19
397,101.2,37
425,102.9,26
390,104.1,32
413,100.7,31
416,110,22
422,108,28
369,98.4,29
404,104.6,23
445,108.5,28
385,102.2,29
353,100.6,39
397,102.9,32
409,105.5,28
421,107.6,33
427,106.8,29
353,94.1,26
438,110.3,22
393,99.3,27
398,101.3,35
410,103.8,26
353,110,22
374,99.3,33
429,103,30
384,105.1,22
372,99.5,25
372,100.4,22
363,94.9,38
416,104.3,33
432,108.9,25
428,109.6,22
379,98.5,24
395,104.6,30
406,104.2,26
384,100.7,34
362,104.5,23
412,103.1,28
406,111,21
385,99,31
415,107.6,23
374,105.1,22
380,101.6,37
381,105.1,25
398,105.3,34
362,101.4,28
363,97.7,31
397,101,33
401,103.9,30
447,110.8,28
407,104.7,34
366,97,35
399,107.6,20
403,106.3,19
370,106.1,42
386,106,31
400,101.5,28
370,105.6,27
395,104.9,20
339,100.3,39
398,99.7,30
388,101,29
375,97.9,28
389,102.3,24
380,101.2,25
401,101.3,34
407,105.8,35
399,101.1,31
377,98.5,28
425,107.2,32
396,102.9,28
390,97.6,30
407,108.6,24
366,100.5,38
349,100.1,34
400,104.1,38
359,100,38
418,106.9,24
381,100.1,29
416,109,37
358,108.2,18
360,95.7,33
431,109.8,22
